,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,y
4299142,SI,2021-06-22,94.4,-1.89,5.7,"Kittredge, Andrew",Danny Santana,Andrew Kittredge,,swinging_strike,,,,,8.0,Danny Santana strikes out swinging.,R,L,R,TB,BOS,S,,,0,0,2021,-1.22,0.79,0.09,1.84,,,,0,1,Top,,,,,Francisco Mejia,,,7.949703631144368,-137.1994959269013,-6.14791605709492,-17.182228021144677,29.94584878731046,-21.054804261706742,3.32,1.51,,,,95.1,1977.0,6.8,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.75,,,,,,,,1,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.0,-0.038,swinging_strike
4299143,FF,2021-06-22,94.3,-1.86,5.7,"Kittredge, Andrew",Danny Santana,Andrew Kittredge,,swinging_strike,,,,,14.0,Danny Santana strikes out swinging.,R,L,R,TB,BOS,S,,,0,1,2021,-0.09,0.83,1.1,1.76,,,,0,1,Top,,,,,Francisco Mejia,,,7.947415578577292,-137.0320520542885,-6.461950739325178,-2.7428055957181674,28.58763346339482,-20.42016038301932,3.32,1.51,,,,95.2,2281.0,6.8,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.74,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,-0.052,swinging_strike
4299144,SL,2021-06-22,85.7,-1.73,5.82,"Kittredge, Andrew",Danny Santana,Andrew Kittredge,strikeout,swinging_strike,,,,,7.0,Danny Santana strikes out swinging.,R,L,R,TB,BOS,S,2.0,,0,2,2021,0.69,-0.06,-0.39,1.39,,,,0,1,Top,,,,,Francisco Mejia,,,1.7888869942133632,-124.93086616914648,-4.164096616204732,6.892283536036368,23.08709555467257,-32.206324001504285,3.32,1.51,,,,86.8,2400.0,6.7,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.82,,,0.0,1.0,0.0,0.0,,1,3,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,82.0,0.022,-0.152,strikeout
4299145,SI,2021-06-22,95.1,-1.84,5.75,"Kittredge, Andrew",Alex Verdugo,Andrew Kittredge,,called_strike,,,,,8.0,Alex Verdugo walks.,R,L,R,TB,BOS,S,,,0,0,2021,-1.28,0.85,-0.27,2.16,,,,1,1,Top,,,,,Francisco Mejia,,,7.012060420895845,-138.27305951715238,-5.68922842836951,-17.99555000024805,30.964115434983924,-20.1447955327994,3.56,1.55,,,,95.6,2029.0,6.6,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.85,,,,,,,,2,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.0,-0.027,called_strike
4299146,FF,2021-06-22,94.4,-1.76,5.73,"Kittredge, Andrew",Alex Verdugo,Andrew Kittredge,,called_strike,,,,,6.0,Alex Verdugo walks.,R,L,R,TB,BOS,S,,,0,1,2021,0.15,0.85,0.55,2.79,,,,1,1,Top,,,,,Francisco Mejia,,,5.743644805462571,-137.49464905012013,-3.9161546233026776,0.6938380114160638,27.90539491086628,-20.75398524995008,3.58,1.55,,,,95.5,2320.0,6.7,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.8,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,192.0,0.0,-0.035,called_strike
4299147,SL,2021-06-22,84.4,-1.83,5.87,"Kittredge, Andrew",Alex Verdugo,Andrew Kittredge,,ball,,,,,13.0,Alex Verdugo walks.,R,L,R,TB,BOS,B,,,0,2,2021,0.88,-0.45,-1.54,2.25,,,,1,1,Top,,,,,Francisco Mejia,,,-1.0771266497884786,-122.95891258658422,-1.2050052686655148,9.131174478132662,23.583584141315,-36.725984692457935,3.48,1.52,,,,85.0,2552.0,6.5,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.97,,,,,,,,2,3,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,66.0,0.0,0.013,ball
4299148,SL,2021-06-22,86.3,-1.65,5.81,"Kittredge, Andrew",Alex Verdugo,Andrew Kittredge,,ball,,,,,14.0,Alex Verdugo walks.,R,L,R,TB,BOS,B,,,1,2,2021,0.78,-0.19,1.31,0.54,,,,1,1,Top,,,,,Francisco Mejia,,,5.497897266368566,-125.62257534583168,-6.0067973573787246,7.204735266673632,24.580870827907788,-33.16796865026808,3.59,1.57,,,,86.9,2489.0,6.6,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.89,,,,,,,,2,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,79.0,0.0,0.028,ball
4299149,FF,2021-06-22,95.4,-1.69,5.69,"Kittredge, Andrew",Alex Verdugo,Andrew Kittredge,,ball,,,,,14.0,Alex Verdugo walks.,R,L,R,TB,BOS,B,,,2,2,2021,0.01,1.21,1.47,1.34,,,,1,1,Top,,,,,Francisco Mejia,,,8.39882024322366,-138.56303837056646,-8.63253534596647,-1.747411363689101,30.301182765876792,-14.806305783086277,3.52,1.49,,,,96.5,2516.0,7.0,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.51,,,,,,,,2,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,202.0,0.0,0.071,ball
4299150,SL,2021-06-22,88.2,-1.7,5.68,"Kittredge, Andrew",Alex Verdugo,Andrew Kittredge,walk,ball,,,,,14.0,Alex Verdugo walks.,R,L,R,TB,BOS,B,,,3,2,2021,0.76,0.05,0.74,0.26,,,,1,1,Top,,,,,Francisco Mejia,,,4.3925379565081055,-128.31952367840515,-7.23061039357504,7.529012516528304,26.1562879653124,-30.392162432949448,3.53,1.5,,,,89.0,2561.0,6.7,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.75,,,0.7,1.0,0.0,0.0,,2,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,86.0,-0.025,0.214,walk
4299151,SI,2021-06-22,94.5,-1.61,5.79,"Kittredge, Andrew",J. D. Martinez,Andrew Kittredge,field_out,hit_into_play,,,,,8.0,J.D. Martinez lines out sharply to center fielder Kevin Kiermaier.,R,R,R,TB,BOS,X,8.0,line_drive,0,0,2021,-1.13,0.89,-0.19,2.18,,,Alex Verdugo,1,1,Top,129.39,44.46,,,Francisco Mejia,,,6.285735049913012,-137.27009651844196,-5.5762841321310495,-15.814681019084254,37.655245644819246,-19.88153103944633,3.49,1.6,382.0,111.2,19.0,94.3,2236.0,6.8,633519,552640,642336,Yandy Diaz,Brandon Lowe,Wander Franco,Taylor Walls,Randy Arozarena,Kevin Kiermaier,Manuel Margot,53.68,0.869,1.369,0.0,1.0,0.0,0.0,6.0,3,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,0.028,-0.307,field_out
