Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
173,FF,2015-04-05,98.1,-0.95,6.0,"Rosenthal, Trevor",Arismendy Alcantara,Trevor Rosenthal,strikeout,swinging_strike,,,,,11,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,S,2.0,,3,2,2015,-0.62,1.77,-0.31,3.59,,,,2,9,Bot,,,,,Yadier Molina,,150405_222345,3.07,-142.74,-5.05,-7.18,33.75,-9.64,3.36,1.55,,,,97.3,2352.0,5.8,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,0.0,1.0,0.0,0.0,,75,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,-0.005,-0.119
174,CH,2015-04-05,86.6,-0.46,6.0,"Rosenthal, Trevor",Arismendy Alcantara,Trevor Rosenthal,,ball,,,,,12,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,B,,,2,2,2015,-1.29,1.48,1.38,2.97,,,,2,9,Bot,,,,,Yadier Molina,,150405_222329,7.25,-125.92,-4.01,-13.39,24.59,-17.66,3.36,1.55,,,,86.2,1774.0,5.8,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,75,5,Changeup,0,3,0,3,3,0,0,3,Standard,Strategic,,0.0,0.038
184,FF,2015-04-05,97.4,-0.94,5.91,"Rosenthal, Trevor",Arismendy Alcantara,Trevor Rosenthal,,foul,,,,,13,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,S,,,2,1,2015,-1.04,1.77,-0.84,2.13,,,,2,9,Bot,,,,,Yadier Molina,,150405_222307,2.66,-141.57,-8.71,-13.22,34.79,-10.07,3.36,1.55,218.0,81.0,59.0,96.8,2461.0,6.0,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,75,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,0.0,-0.029
190,FF,2015-04-05,97.0,-0.96,5.96,"Rosenthal, Trevor",Arismendy Alcantara,Trevor Rosenthal,,called_strike,,,,,11,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,S,,,2,0,2015,-0.72,1.75,-0.87,2.8,,,,2,9,Bot,,,,,Yadier Molina,,150405_222252,1.78,-141.11,-6.92,-8.46,33.31,-10.38,3.36,1.55,,,,96.7,2299.0,6.1,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,75,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,0.0,-0.027
197,FF,2015-04-05,98.0,-0.81,5.84,"Rosenthal, Trevor",Arismendy Alcantara,Trevor Rosenthal,,ball,,,,,14,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,B,,,1,0,2015,-0.73,2.18,0.47,0.91,,,,2,9,Bot,,,,,Yadier Molina,,150405_222234,5.14,-142.03,-13.09,-8.75,33.78,-4.05,3.36,1.55,,,,97.6,,6.2,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,75,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,0.0,0.025
205,FF,2015-04-05,97.9,-0.73,5.8,"Rosenthal, Trevor",Arismendy Alcantara,Trevor Rosenthal,,ball,,,,,14,Arismendy Alcantara strikes out swinging.,R,L,R,CHC,STL,B,,,0,0,2015,-1.05,1.83,0.08,1.06,,,,2,9,Bot,,,,,Yadier Molina,,150405_222222,4.67,-141.94,-11.64,-13.43,33.87,-9.01,3.36,1.55,,,,96.9,2466.0,5.9,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,75,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,0.0,0.014
219,FF,2015-04-05,98.5,-0.85,6.09,"Rosenthal, Trevor",Mike Olt,Trevor Rosenthal,strikeout,swinging_strike,,,,,11,Mike Olt strikes out swinging.,R,R,R,CHC,STL,S,2.0,,2,2,2015,-0.4,1.82,-0.09,3.75,,,,1,9,Bot,,,,,Yadier Molina,,150405_222148,2.86,-143.31,-5.06,-3.97,34.3,-8.73,3.5,1.57,,,,97.5,2350.0,5.7,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,0.0,1.0,0.0,0.0,,74,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,-0.012,-0.137
225,FF,2015-04-05,98.1,-0.77,6.01,"Rosenthal, Trevor",Mike Olt,Trevor Rosenthal,,foul,,,,,2,Mike Olt strikes out swinging.,R,R,R,CHC,STL,S,,,2,1,2015,-0.81,1.56,-0.02,2.93,,,,1,9,Bot,,,,,Yadier Molina,,150405_222130,3.89,-142.59,-6.4,-10.05,34.94,-12.77,3.5,1.57,,,,97.1,1739.0,5.8,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,74,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,0.0,-0.042
243,FF,2015-04-05,97.8,-0.88,5.94,"Rosenthal, Trevor",Mike Olt,Trevor Rosenthal,,called_strike,,,,,7,Mike Olt strikes out swinging.,R,R,R,CHC,STL,S,,,2,0,2015,-0.88,1.86,-0.38,2.13,,,,1,9,Bot,,,,,Yadier Molina,,150405_222115,3.34,-142.06,-9.08,-10.85,35.5,-8.69,3.5,1.57,,,,96.8,2383.0,5.9,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,74,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,0.0,-0.045
245,FF,2015-04-05,95.1,-0.81,5.98,"Rosenthal, Trevor",Mike Olt,Trevor Rosenthal,,ball,,,,,14,Mike Olt strikes out swinging.,R,R,R,CHC,STL,B,,,1,0,2015,-0.41,1.8,1.63,1.53,,,,1,9,Bot,,,,,Yadier Molina,,150405_222057,7.34,-137.9,-10.12,-3.85,31.82,-10.75,3.5,1.57,,,,93.9,2416.0,5.7,413661,572096,425877,Matt Adams,Kolten Wong,Matt Carpenter,Jhonny Peralta,Jon Jay,Peter Bourjos,Jason Heyward,50,,,,,,,,74,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,,0.0,0.045
